,Title,director,actors,Genre,id,Image_url,Average_vote,Runtime,imdb_link,combo
0,11:14,Greg Marcks,Henry Thomas  Blake Heron  Barbara Hershey,Crime  Drama,9282,https://image.tmdb.org/t/p/w500//pR2hj9MvnLeax2efwrEvRkHadgp.jpg,6.807,86min,https://www.imdb.com/title/tt0331811,crime drama greg marcks henry thomas blake heron barbara hershey
1,101 dalmatians ii: patch's london adventure,Jim Kammerud,Barry Bostwick  Jason Alexander  Martin Short,Animation  Family,13654,https://image.tmdb.org/t/p/w500//mcl56J7tDPjzEesgpX4UPgAdbvf.jpg,6.0,74min,https://www.imdb.com/title/tt0324941,animation family jim kammerud barry bostwick jason alexander martin short
2,2 fast 2 furious,John Singleton,Paul Walker  Tyrese Gibson  Eva Mendes,Action  Crime,584,https://image.tmdb.org/t/p/w500//qC167IbZpSrwX7wWgg3BeDQbTDr.jpg,6.449,108min,https://www.imdb.com/title/tt0322259,action crime john singleton paul walker tyrese gibson eva mendes
3,21 grams,Alejandro González Iñárritu,Sean Penn  Naomi Watts  Benicio del Toro,Crime  Drama,470,https://image.tmdb.org/t/p/w500//hdS0to9nUpgK0Zm1bZAF6BWRae7.jpg,7.361,124min,https://www.imdb.com/title/tt0315733,crime drama alejandro gonzález iñárritu sean penn naomi watt benicio del toro
4,44 minutes: the north hollywood shoot-out,Yves Simoneau,Michael Madsen  Ron Livingston,Action,14842,https://image.tmdb.org/t/p/w500//jBb1YSyrEYrHAh1zMJfziApxsXU.jpg,6.6,103min,https://www.imdb.com/title/tt0362389,action yves simoneau michael madsen ron livingston
5,abby singer,Ryan Williams,Clint J. Palmer  Ryan Williams  Wendy Buss,Comedy  Drama,499117,https://image.tmdb.org/t/p/w500//wfWSRcQRmEw3u5myacurSf57M8x.jpg,0.0,79min,https://www.imdb.com/title/tt4587588,comedy drama ryan williams clint j. palmer ryan williams wendy bus
6,afro-punk,James Spooner,Race identity within punk subculture,Documentary,542059,https://image.tmdb.org/t/p/w500//mbdcyRBI7hhm8oU2QCfnpI5FB4M.jpg,0.0,15min,https://www.imdb.com/title/tt5762422,documentary james spooner race identity within punk subculture
7,agent cody banks,Harald Zwart,Frankie Muniz  Hilary Duff,Action  Family,10923,https://image.tmdb.org/t/p/w500//fhK0mqqirPsckxkNisvi32A4lf6.jpg,5.424,102min,https://www.imdb.com/title/tt0313911,action family harald zwart frankie muniz hilary duff
8,aileen: life and death of a serial killer,"Nick Broomfield, Joan Churchill",The life of Aileen Wuornos,Documentary,37088,https://image.tmdb.org/t/p/w500//heyPFrL3IVf7dXJDph5B3lidNuB.jpg,6.9,89min,https://www.imdb.com/title/tt0364930,"documentary nick broomfield, joan churchill the life of aileen wuornos"
9,alex & emma,Rob Reiner,Kate Hudson  Luke Wilson  Sophie Marceau,Romantic comedy,17813,https://image.tmdb.org/t/p/w500//AaDCSJipXeswMpM0TfOAbbYaBPb.jpg,5.234,96min,https://www.imdb.com/title/tt0318283,romantic comedy rob reiner kate hudson luke wilson sophie marceau
10,alien hunter,Ron Krauss,James Spader,Action  Science,22076,https://image.tmdb.org/t/p/w500//aNBMcjrncjGd9Yn6TJW3SkQJhMJ.jpg,5.225,100min,https://www.imdb.com/title/tt0327409,action science fiction ron krauss james spader
11,all the real girls,David Gordon Green,Paul Schneider  Zooey Deschanel  Shea Whigham,Drama  Romance,13132,https://image.tmdb.org/t/p/w500//sQ6dMkwPIFucYSmFQcr38WBYzs.jpg,6.1,108min,https://www.imdb.com/title/tt0299458,drama romance david gordon green paul schneider zooey deschanel shea whigham
12,amandla!: a revolution in four-part harmony,Lee Hirsch,The use of music against South Africa under apartheid,Documentary,22707,https://image.tmdb.org/t/p/w500//izru4geFbkBk1O1I5lHQxlfhuJY.jpg,7.2,103min,https://www.imdb.com/title/tt0303297,documentary lee hirsch the use of music against south africa under apartheid
13,american splendor,"Robert Pulcini, Shari Springer Berman",Paul Giamatti  Hope Davis,Comedy-Drama,2771,https://image.tmdb.org/t/p/w500//3Cuher0ibSga1as9OtZe50UcXxj.jpg,7.221,101min,https://www.imdb.com/title/tt0305206,"comedy-drama robert pulcini, shari springer berman paul giamatti hope davis"
14,american wedding,Jesse Dylan,Jason Biggs  Seann William Scott  Alyson Hannigan,Comedy,8273,https://image.tmdb.org/t/p/w500//pCO3lJv2PzPkJty29APxCVSjyoE.jpg,6.193,103min,https://www.imdb.com/title/tt0328828,comedy jesse dylan jason biggs seann william scott alyson hannigan
15,anger management,Peter Segal,Adam Sandler  Jack Nicholson  Marisa Tomei,Comedy,9506,https://image.tmdb.org/t/p/w500//ezitJY9RTk3ReXc1nWhXjmU9cz0.jpg,6.126,106min,https://www.imdb.com/title/tt0305224,comedy peter segal adam sandler jack nicholson marisa tomei
16,anne b. real,Lisa France,David Zayas  Carlos Leon,Drama,31284,https://image.tmdb.org/t/p/w500//s3uzBvmAvuA8SeeiUOvcEM89WFS.jpg,3.9,91min,https://www.imdb.com/title/tt0315775,drama lisa france david zayas carlos leon
17,anything else,Woody Allen,Jason Biggs  Christina Ricci  Stockard Channing,Romantic Comedy,10739,https://image.tmdb.org/t/p/w500//bvyoWDh60R31ZE5L8TjZ8Qpv5xM.jpg,6.21,108min,https://www.imdb.com/title/tt0313792,romantic comedy woody allen jason biggs christina ricci stockard channing
18,baadasssss!,Mario Van Peebles,Mario Van Peebles  Adam West,Biography  Drama,28219,https://image.tmdb.org/t/p/w500//uhdsg8Xa3VhsveTmrgpBwOnmPFx.jpg,7.097,108min,https://www.imdb.com/title/tt0367790,biography drama mario van peebles mario van peebles adam west
19,bad boys ii,Michael Bay,Martin Lawrence  Will Smith,Action  Comedy,8961,https://image.tmdb.org/t/p/w500//yCvB5fG5aEPqa1St7ihY6KEAsHD.jpg,6.582,147min,https://www.imdb.com/title/tt0172156,action comedy michael bay martin lawrence will smith
20,bad santa,Terry Zwigoff,Billy Bob Thornton  Bernie Mac  Lauren Graham,Comedy  Crime,10147,https://image.tmdb.org/t/p/w500//rfClLIyeHqpMofmrPY8DaLe4z9x.jpg,6.535,92min,https://www.imdb.com/title/tt0307987,comedy crime terry zwigoff billy bob thornton bernie mac lauren graham
21,basic,John McTiernan,John Travolta  Connie Nielsen  Samuel L. Jackson,Thriller,402,https://image.tmdb.org/t/p/w500//76Ts0yoHk8kVQj9MMnoMixhRWoh.jpg,6.881,127min,https://www.imdb.com/title/tt0103772,thriller john mctiernan john travolta connie nielsen samuel l. jackson
22,the battle of shaker heights,"Efram Potelle, Kyle Rankin",Shia La Beouf  Elden Henson  Amy Smart,Comedy  Drama,21413,https://image.tmdb.org/t/p/w500//ba16bmfApo4psNcMHMQfFUghQ6y.jpg,5.6,79min,https://www.imdb.com/title/tt0357470,"comedy drama efram potelle, kyle rankin shia la beouf elden henson amy smart"
23,bells of innocence,Alin Bijan,Mike Norris  Marshall R. Teague  Chuck Norris,Horror,36859,https://image.tmdb.org/t/p/w500//k1AO2v7twn9w0TtFFnbBP5MJILs.jpg,2.0,110min,https://www.imdb.com/title/tt0312450,horror alin bijan mike norris marshall r. teague chuck norris
24,the best two years,Scott S. Anderson,K.C. Clyde  Kirby Heyborne  David Nibley,Comedy  Drama,16668,https://image.tmdb.org/t/p/w500//regPVSdn7PUJmY7vWc6n4Qjsb4q.jpg,7.1,112min,https://www.imdb.com/title/tt0377038,comedy drama scott s. anderson k.c. clyde kirby heyborne david nibley
25,beyond borders,Martin Campbell,Angelina Jolie  Clive Owen,Romance  War,9839,https://image.tmdb.org/t/p/w500//j7Upm2AtGuTzCs2Asq0GyBIMAxX.jpg,6.5,127min,https://www.imdb.com/title/tt0294357,romance war martin campbell angelina jolie clive owen
26,big fish,Tim Burton,Ewan McGregor  Albert Finney  Billy Crudup,Comedy  Drama,587,https://image.tmdb.org/t/p/w500//2CnZsnezR5FLcUSYwp1xKEEoOra.jpg,7.768,125min,https://www.imdb.com/title/tt0319061,comedy drama fantasy tim burton ewan mcgregor albert finney billy crudup
27,biker boyz,Reggie Rock Bythewood,Laurence Fishburne  Djimon Hounsou  Derek Luke,Action,12253,https://image.tmdb.org/t/p/w500//frb2Tk7DTBshZ61Or0D3M1kslWL.jpg,6.143,110min,https://www.imdb.com/title/tt0326769,action reggie rock bythewood laurence fishburne djimon hounsou derek luke
28,black cadillac,John Murlowski,Randy Quaid  Shane Johnson  Josh Hammond,Horror,69217,https://image.tmdb.org/t/p/w500//2zFoFrdpT8X6R3j2Kw2bK4t46gS.jpg,5.774,93min,https://www.imdb.com/title/tt0313285,horror john murlowski randy quaid shane johnson josh hammond
29,blind horizon,Michael Haussman,Val Kilmer  Neve Campbell  Sam Shepard,Drama,24619,https://image.tmdb.org/t/p/w500//tPdQbKcjrLnYfqvRBvGWoNqAsjR.jpg,5.913,99min,https://www.imdb.com/title/tt0337881,drama michael haussman val kilmer neve campbell sam shepard
30,blizzard,LeVar Burton,Brenda Blethyn  Christopher Plummer  Kevin Pollak,Family,22081,https://image.tmdb.org/t/p/w500//uLGrJDBi67Bb4e3mMGoH3duefhw.jpg,6.1,93min,https://www.imdb.com/title/tt0309372,family levar burton brenda blethyn christopher plummer kevin pollak
